# Summary: Whole-Script Confusables
# File: confusablesWholeScript.txt
# Version: 8.0.0
# Generated: 2015-05-17, 03:09:04 GMT
# Checkin: $Revision: 1.32 $
#
# For documentation and usage, see http://www.unicode.org/reports/tr39/
#
# This data is used for determining whether a strings is a
# whole-script or mixed-script confusable.
# The mappings here ignore common and inherited script characters,
# such as accents.

# Lowercase Only

# Arabic; Armenian: [ه٥ھہە۵ۿ]; [օ]

0647          ; Arab; Armn; L #      (ه)  ARABIC LETTER HEH
051B          ; Cyrl; Latn; L #      (ԛ)  CYRILLIC SMALL LETTER QA
051D          ; Cyrl; Latn; L #      (ԝ)  CYRILLIC SMALL LETTER WE

# Total code points: 40

# Cyrillic; Malayalam: [оө]; [ം൦]

043E          ; Cyrl; Mlym; L #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Mlym; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Myanmar: [оө]; [ဝ၀]

043E          ; Cyrl; Mymr; L #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Mymr; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Sinhala: [оө]; [ං]

043E          ; Cyrl; Sinh; L #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Sinh; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Tamil: [оө]; [௦]

043E          ; Cyrl; Taml; L #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Taml; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Telugu: [оө]; [ం౦]

043E          ; Cyrl; Telu; L #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Telu; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Cyrillic; Thai: [оө]; [๐]

043E          ; Cyrl; Thai; L #      (о)  CYRILLIC SMALL LETTER O
04E9          ; Cyrl; Thai; L #      (ө)  CYRILLIC SMALL LETTER BARRED O

# Total code points: 2

# Devanagari; Arabic: [०१]; [ه٥٩ھہە۵۹ۿ]

0966..0967    ; Deva; Arab; L #  [2] (०..१)  DEVANAGARI DIGIT ZERO..DEVANAGARI DIGIT ONE

# Total code points: 2

# Devanagari; Armenian: [०]; [օ]

0966          ; Deva; Armn; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Bengali: [ँ़]; [ঁ়]

0901          ; Deva; Beng; L #      (ँ)  DEVANAGARI SIGN CANDRABINDU
093C          ; Deva; Beng; L #      (़)  DEVANAGARI SIGN NUKTA

# Total code points: 2

# Devanagari; Cyrillic: [०]; [оө]

0966          ; Deva; Cyrl; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Georgian: [०]; [ჿ]

0966          ; Deva; Geor; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Greek: [०]; [οσ]

0966          ; Deva; Grek; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Gujarati: [ँ-ः़ऽुू्०२-४८]; [ઁ-ઃ઼ઽુૂ્૦૨-૪૮]

0901..0903    ; Deva; Gujr; L #  [3] (ँ..ः)  DEVANAGARI SIGN CANDRABINDU..DEVANAGARI SIGN VISARGA
093C..093D    ; Deva; Gujr; L #  [2] (़..ऽ)  DEVANAGARI SIGN NUKTA..DEVANAGARI SIGN AVAGRAHA
0941..0942    ; Deva; Gujr; L #  [2] (ु..ू)  DEVANAGARI VOWEL SIGN U..DEVANAGARI VOWEL SIGN UU
094D          ; Deva; Gujr; L #      (्)  DEVANAGARI SIGN VIRAMA
0966          ; Deva; Gujr; L #      (०)  DEVANAGARI DIGIT ZERO
0968..096A    ; Deva; Gujr; L #  [3] (२..४)  DEVANAGARI DIGIT TWO..DEVANAGARI DIGIT FOUR
096E          ; Deva; Gujr; L #      (८)  DEVANAGARI DIGIT EIGHT

# Total code points: 13

# Devanagari; Gurmukhi: [ं़ॆ्०]; [ਂ਼ੋ੍੦]

0902          ; Deva; Guru; L #      (ं)  DEVANAGARI SIGN ANUSVARA
093C          ; Deva; Guru; L #      (़)  DEVANAGARI SIGN NUKTA
0946          ; Deva; Guru; L #      (ॆ)  DEVANAGARI VOWEL SIGN SHORT E
094D          ; Deva; Guru; L #      (्)  DEVANAGARI SIGN VIRAMA
0966          ; Deva; Guru; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 5

# Devanagari; Hebrew: [़०]; [ִס]

093C          ; Deva; Hebr; L #      (़)  DEVANAGARI SIGN NUKTA
0966          ; Deva; Hebr; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 2

# Devanagari; Kannada: [०]; [ಂ೦]

0966          ; Deva; Knda; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Lao: [०]; [໐]

0966          ; Deva; Laoo; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Latin: [०]; [oøơ]

0966          ; Deva; Latn; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Malayalam: [०ॱ]; [ംൎ൦]

0966          ; Deva; Mlym; L #      (०)  DEVANAGARI DIGIT ZERO
0971          ; Deva; Mlym; L #      (ॱ)  DEVANAGARI SIGN HIGH SPACING DOT

# Total code points: 2

# Devanagari; Myanmar: [०]; [ဝ၀]

0966          ; Deva; Mymr; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Oriya: [ँ़]; [ଁ଼]

0901          ; Deva; Orya; L #      (ँ)  DEVANAGARI SIGN CANDRABINDU
093C          ; Deva; Orya; L #      (़)  DEVANAGARI SIGN NUKTA

# Total code points: 2

# Devanagari; Sinhala: [०]; [ං]

0966          ; Deva; Sinh; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Tamil: [ं०]; [்௦]

0902          ; Deva; Taml; L #      (ं)  DEVANAGARI SIGN ANUSVARA
0966          ; Deva; Taml; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 2

# Devanagari; Telugu: [०]; [ం౦]

0966          ; Deva; Telu; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Devanagari; Thai: [०]; [๐]

0966          ; Deva; Thai; L #      (०)  DEVANAGARI DIGIT ZERO

# Total code points: 1

# Georgian; Arabic: [ჿ]; [ه٥ھہە۵ۿ]

10FF          ; Geor; Arab; L #      (ჿ)  GEORGIAN LETTER LABIAL SIGN

# Total code points: 1

# Georgian; Armenian: [ჿ]; [օ]

10FF          ; Geor; Armn; L #      (ჿ)  GEORGIAN LETTER LABIAL SIGN

# Total code points: 1

# Georgian; Cyrillic: [ყჿ]; [оуүұө]

10E7          ; Geor; Cyrl; L #      (ყ)  GEORGIAN LETTER QAR
10FF          ; Geor; Cyrl; L #      (ჿ)  GEORGIAN LETTER LABIAL SIGN

# Total code points: 2

# Georgian; Devanagari: [ჿ]; [०]

10FF          ; Geor; Deva; L #      (ჿ)  GEORGIAN LETTER LABIAL SIGN

# Total code points: 1

# Georgian; Greek: [ყჿ]; [γοσ]

10E7          ; Geor; Grek; L #      (ყ)  GEORGIAN LETTER QAR
10FF          ; Geor; Grek; L #      (ჿ)  GEORGIAN LETTER LABIAL SIGN

# Total code points: 2

# Georgian; Gujarati: [ჿ]; [૦]

10FF          ; Geor; Gujr; L #      (ჿ)  GEORGIAN LETTER LABIAL SIGN

# Total code points: 1

# Georgian; Gurmukhi: [ჿ]; [੦]

10FF          ; Geor; Guru; L #      (ჿ)  GEORGIAN LETTER LABIAL SIGN

# Total code points: 1

# Georgian; Hebrew: [ჿ]; [ס]

10FF          ; Geor; Hebr; L #      (ჿ)  GEORGIAN LETTER LABIAL SIGN

# Total code points: 1

# Georgian; Kannada: [ჿ]; [ಂ೦]

10FF          ; Geor; Knda; L #      (ჿ)  GEORGIAN LETTER LABIAL SIGN

# Total code points: 1

# Georgian; Lao: [ჿ]; [໐]

10FF          ; Geor; Laoo; L #      (ჿ)  GEORGIAN LETTER LABIAL SIGN

# Total code points: 1

# Georgian; Latin: [ყჿ]; [oyøơ]

10E7          ; Geor; Latn; L #      (ყ)  GEORGIAN LETTER QAR
10FF          ; Geor; Latn; L #      (ჿ)  GEORGIAN LETTER LABIAL SIGN

# Total code points: 2

# Georgian; Malayalam: [ჿ]; [ം൦]

10FF          ; Geor; Mlym; L #      (ჿ)  GEORGIAN LETTER LABIAL SIGN

# Total code points: 1

# Georgian; Myanmar: [ჿ]; [ဝ၀]

10FF          ; Geor; Mymr; L #      (ჿ)  GEORGIAN LETTER LABIAL SIGN

# Total code points: 1

# Georgian; Sinhala: [ჿ]; [ං]

10FF          ; Geor; Sinh; L #      (ჿ)  GEORGIAN LETTER LABIAL SIGN

# Total code points: 1

# Georgian; Tamil: [ჿ]; [௦]

10FF          ; Geor; Taml; L #      (ჿ)  GEORGIAN LETTER LABIAL SIGN

# Total code points: 1

# Georgian; Telugu: [ჿ]; [ం౦]

10FF          ; Geor; Telu; L #      (ჿ)  GEORGIAN LETTER LABIAL SIGN

# Total code points: 1

# Georgian; Thai: [ჿ]; [๐]

10FF          ; Geor; Thai; L #      (ჿ)  GEORGIAN LETTER LABIAL SIGN

# Total code points: 1

# Greek; Arabic: [οσ]; [ه٥ھہە۵ۿ]

03BF          ; Grek; Arab; L #      (ο)  GREEK SMALL LETTER OMICRON
03C3          ; Grek; Arab; L #      (σ)  GREEK SMALL LETTER SIGMA

# Total code points: 2

# Greek; Armenian: [δηοπσυ]; [ծոռսօ]

03B4          ; Grek; Armn; L #      (δ)  GREEK SMALL LETTER DELTA
03B7          ; Grek; Armn; L #      (η)  GREEK SMALL LETTER ETA
03BF..03C0    ; Grek; Armn; L #  [2] (ο..π)  GREEK SMALL LETTER OMICRON..GREEK SMALL LETTER PI
03C3          ; Grek; Armn; L #      (σ)  GREEK SMALL LETTER SIGMA
03C5          ; Grek; Armn; L #      (υ)  GREEK SMALL LETTER UPSILON

# Total code points: 6

# Greek; Bengali: [θ]; [০]

03B8          ; Grek; Beng; L #      (θ)  GREEK SMALL LETTER THETA

# Total code points: 1

# Greek; Cyrillic: [αγεηικο-ρσ-φ]; [ако-рт-фцєіқҟҭүұӏөԑ]

03B1          ; Grek; Cyrl; L #      (α)  GREEK SMALL LETTER ALPHA
03B3          ; Grek; Cyrl; L #      (γ)  GREEK SMALL LETTER GAMMA
03B5          ; Grek; Cyrl; L #      (ε)  GREEK SMALL LETTER EPSILON
03B7          ; Grek; Cyrl; L #      (η)  GREEK SMALL LETTER ETA
03B9..03BA    ; Grek; Cyrl; L #  [2] (ι..κ)  GREEK SMALL LETTER IOTA..GREEK SMALL LETTER KAPPA
03BF..03C1    ; Grek; Cyrl; L #  [3] (ο..ρ)  GREEK SMALL LETTER OMICRON..GREEK SMALL LETTER RHO
03C3..03C6    ; Grek; Cyrl; L #  [4] (σ..φ)  GREEK SMALL LETTER SIGMA..GREEK SMALL LETTER PHI

# Total code points: 13

# Greek; Devanagari: [οσ]; [०]

03BF          ; Grek; Deva; L #      (ο)  GREEK SMALL LETTER OMICRON
03C3          ; Grek; Deva; L #      (σ)  GREEK SMALL LETTER SIGMA

# Total code points: 2

# Greek; Georgian: [γοσ]; [ყჿ]

03B3          ; Grek; Geor; L #      (γ)  GREEK SMALL LETTER GAMMA
03BF          ; Grek; Geor; L #      (ο)  GREEK SMALL LETTER OMICRON
03C3          ; Grek; Geor; L #      (σ)  GREEK SMALL LETTER SIGMA

# Total code points: 3

# Greek; Gujarati: [οσ]; [૦]

03BF          ; Grek; Gujr; L #      (ο)  GREEK SMALL LETTER OMICRON
03C3          ; Grek; Gujr; L #      (σ)  GREEK SMALL LETTER SIGMA

# Total code points: 2

# Greek; Gurmukhi: [οσ]; [੦]

03BF          ; Grek; Guru; L #      (ο)  GREEK SMALL LETTER OMICRON
03C3          ; Grek; Guru; L #      (σ)  GREEK SMALL LETTER SIGMA

# Total code points: 2

# Greek; Han: [θ]; [〇]

03B8          ; Grek; Hani; L #      (θ)  GREEK SMALL LETTER THETA

# Total code points: 1

# Greek; Hebrew: [νοσ]; [טס]

03BD          ; Grek; Hebr; L #      (ν)  GREEK SMALL LETTER NU
03BF          ; Grek; Hebr; L #      (ο)  GREEK SMALL LETTER OMICRON
03C3          ; Grek; Hebr; L #      (σ)  GREEK SMALL LETTER SIGMA

# Total code points: 3

# Greek; Kannada: [οσ]; [ಂ೦]

03BF          ; Grek; Knda; L #      (ο)  GREEK SMALL LETTER OMICRON
03C3          ; Grek; Knda; L #      (σ)  GREEK SMALL LETTER SIGMA

# Total code points: 2

# Greek; Lao: [οσ]; [໐]

03BF          ; Grek; Laoo; L #      (ο)  GREEK SMALL LETTER OMICRON
03C3          ; Grek; Laoo; L #      (σ)  GREEK SMALL LETTER SIGMA

# Total code points: 2

# Greek; Latin: [α-γεηικνο-ρσ-υ]; [aikn-pt-vyßøıĸŧơꞓ]

03B1..03B3    ; Grek; Latn; L #  [3] (α..γ)  GREEK SMALL LETTER ALPHA..GREEK SMALL LETTER GAMMA
03B5          ; Grek; Latn; L #      (ε)  GREEK SMALL LETTER EPSILON
03B7          ; Grek; Latn; L #      (η)  GREEK SMALL LETTER ETA
03B9..03BA    ; Grek; Latn; L #  [2] (ι..κ)  GREEK SMALL LETTER IOTA..GREEK SMALL LETTER KAPPA
03BD          ; Grek; Latn; L #      (ν)  GREEK SMALL LETTER NU
03BF..03C1    ; Grek; Latn; L #  [3] (ο..ρ)  GREEK SMALL LETTER OMICRON..GREEK SMALL LETTER RHO
03C3..03C5    ; Grek; Latn; L #  [3] (σ..υ)  GREEK SMALL LETTER SIGMA..GREEK SMALL LETTER UPSILON

# Total code points: 14

# Greek; Malayalam: [θοσ]; [ംഠ൦]

03B8          ; Grek; Mlym; L #      (θ)  GREEK SMALL LETTER THETA
03BF          ; Grek; Mlym; L #      (ο)  GREEK SMALL LETTER OMICRON
03C3          ; Grek; Mlym; L #      (σ)  GREEK SMALL LETTER SIGMA

# Total code points: 3

# Greek; Myanmar: [οσ]; [ဝ၀]

03BF          ; Grek; Mymr; L #      (ο)  GREEK SMALL LETTER OMICRON
03C3          ; Grek; Mymr; L #      (σ)  GREEK SMALL LETTER SIGMA

# Total code points: 2

# Greek; Oriya: [θ]; [ଠ୦]

03B8          ; Grek; Orya; L #      (θ)  GREEK SMALL LETTER THETA

# Total code points: 1

# Greek; Sinhala: [οσ]; [ං]

03BF          ; Grek; Sinh; L #      (ο)  GREEK SMALL LETTER OMICRON
03C3          ; Grek; Sinh; L #      (σ)  GREEK SMALL LETTER SIGMA

# Total code points: 2

# Greek; Tamil: [οσ]; [௦]

03BF          ; Grek; Taml; L #      (ο)  GREEK SMALL LETTER OMICRON
03C3          ; Grek; Taml; L #      (σ)  GREEK SMALL LETTER SIGMA

# Total code points: 2

# Greek; Telugu: [οσ]; [ం౦]

03BF          ; Grek; Telu; L #      (ο)  GREEK SMALL LETTER OMICRON
03C3          ; Grek; Telu; L #      (σ)  GREEK SMALL LETTER SIGMA

# Total code points: 2

# Greek; Thai: [οσ]; [๐]

03BF          ; Grek; Thai; L #      (ο)  GREEK SMALL LETTER OMICRON
03C3          ; Grek; Thai; L #      (σ)  GREEK SMALL LETTER SIGMA

# Total code points: 2

# Gujarati; Arabic: [૦]; [ه٥ھہە۵ۿ]

0AE6          ; Gujr; Arab; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Armenian: [૦]; [օ]

0AE6          ; Gujr; Armn; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Bengali: [ઁ઼]; [ঁ়]

0A81          ; Gujr; Beng; L #      (ઁ)  GUJARATI SIGN CANDRABINDU
0ABC          ; Gujr; Beng; L #      (઼)  GUJARATI SIGN NUKTA

# Total code points: 2

# Gujarati; Cyrillic: [૦]; [оө]

0AE6          ; Gujr; Cyrl; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Devanagari: [ઁ-ઃ઼ઽુૂ્૦૨-૪૮]; [ँ-ः़ऽुू्०२-४८]

0A81..0A83    ; Gujr; Deva; L #  [3] (ઁ..ઃ)  GUJARATI SIGN CANDRABINDU..GUJARATI SIGN VISARGA
0ABC..0ABD    ; Gujr; Deva; L #  [2] (઼..ઽ)  GUJARATI SIGN NUKTA..GUJARATI SIGN AVAGRAHA
0AC1..0AC2    ; Gujr; Deva; L #  [2] (ુ..ૂ)  GUJARATI VOWEL SIGN U..GUJARATI VOWEL SIGN UU
0ACD          ; Gujr; Deva; L #      (્)  GUJARATI SIGN VIRAMA
0AE6          ; Gujr; Deva; L #      (૦)  GUJARATI DIGIT ZERO
0AE8..0AEA    ; Gujr; Deva; L #  [3] (૨..૪)  GUJARATI DIGIT TWO..GUJARATI DIGIT FOUR
0AEE          ; Gujr; Deva; L #      (૮)  GUJARATI DIGIT EIGHT

# Total code points: 13

# Gujarati; Georgian: [૦]; [ჿ]

0AE6          ; Gujr; Geor; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Greek: [૦]; [οσ]

0AE6          ; Gujr; Grek; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Gurmukhi: [ં઼્૦]; [ਂ਼੍੦]

0A82          ; Gujr; Guru; L #      (ં)  GUJARATI SIGN ANUSVARA
0ABC          ; Gujr; Guru; L #      (઼)  GUJARATI SIGN NUKTA
0ACD          ; Gujr; Guru; L #      (્)  GUJARATI SIGN VIRAMA
0AE6          ; Gujr; Guru; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 4

# Gujarati; Hebrew: [઼૦]; [ִס]

0ABC          ; Gujr; Hebr; L #      (઼)  GUJARATI SIGN NUKTA
0AE6          ; Gujr; Hebr; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 2

# Gujarati; Kannada: [૦]; [ಂ೦]

0AE6          ; Gujr; Knda; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Lao: [૦]; [໐]

0AE6          ; Gujr; Laoo; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Latin: [૦]; [oøơ]

0AE6          ; Gujr; Latn; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Malayalam: [૦]; [ം൦]

0AE6          ; Gujr; Mlym; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Myanmar: [૦]; [ဝ၀]

0AE6          ; Gujr; Mymr; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Oriya: [ઁ઼]; [ଁ଼]

0A81          ; Gujr; Orya; L #      (ઁ)  GUJARATI SIGN CANDRABINDU
0ABC          ; Gujr; Orya; L #      (઼)  GUJARATI SIGN NUKTA

# Total code points: 2

# Gujarati; Sinhala: [૦]; [ං]

0AE6          ; Gujr; Sinh; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Tamil: [ં૦]; [்௦]

0A82          ; Gujr; Taml; L #      (ં)  GUJARATI SIGN ANUSVARA
0AE6          ; Gujr; Taml; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 2

# Gujarati; Telugu: [૦]; [ం౦]

0AE6          ; Gujr; Telu; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gujarati; Thai: [૦]; [๐]

0AE6          ; Gujr; Thai; L #      (૦)  GUJARATI DIGIT ZERO

# Total code points: 1

# Gurmukhi; Arabic: [੦]; [ه٥ھہە۵ۿ]

0A66          ; Guru; Arab; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 1

# Gurmukhi; Armenian: [੦]; [օ]

0A66          ; Guru; Armn; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 1

# Gurmukhi; Bengali: [ਃ਼੧੪]; [ঃ়৪৭]

0A03          ; Guru; Beng; L #      (ਃ)  GURMUKHI SIGN VISARGA
0A3C          ; Guru; Beng; L #      (਼)  GURMUKHI SIGN NUKTA
0A67          ; Guru; Beng; L #      (੧)  GURMUKHI DIGIT ONE
0A6A          ; Guru; Beng; L #      (੪)  GURMUKHI DIGIT FOUR

# Total code points: 4

# Gurmukhi; Cyrillic: [੦]; [оө]

0A66          ; Guru; Cyrl; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 1

# Gurmukhi; Devanagari: [ਂ਼ੋ੍੦]; [ं़ॆ्०]

0A02          ; Guru; Deva; L #      (ਂ)  GURMUKHI SIGN BINDI
0A3C          ; Guru; Deva; L #      (਼)  GURMUKHI SIGN NUKTA
0A4B          ; Guru; Deva; L #      (ੋ)  GURMUKHI VOWEL SIGN OO
0A4D          ; Guru; Deva; L #      (੍)  GURMUKHI SIGN VIRAMA
0A66          ; Guru; Deva; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 5

# Gurmukhi; Georgian: [੦]; [ჿ]

0A66          ; Guru; Geor; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 1

# Gurmukhi; Greek: [੦]; [οσ]

0A66          ; Guru; Grek; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 1

# Gurmukhi; Gujarati: [ਂ਼੍੦]; [ં઼્૦]

0A02          ; Guru; Gujr; L #      (ਂ)  GURMUKHI SIGN BINDI
0A3C          ; Guru; Gujr; L #      (਼)  GURMUKHI SIGN NUKTA
0A4D          ; Guru; Gujr; L #      (੍)  GURMUKHI SIGN VIRAMA
0A66          ; Guru; Gujr; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 4

# Gurmukhi; Hebrew: [਼੦]; [ִס]

0A3C          ; Guru; Hebr; L #      (਼)  GURMUKHI SIGN NUKTA
0A66          ; Guru; Hebr; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 2

# Gurmukhi; Kannada: [ਃ੦]; [ಂಃ೦]

0A03          ; Guru; Knda; L #      (ਃ)  GURMUKHI SIGN VISARGA
0A66          ; Guru; Knda; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 2

# Gurmukhi; Lao: [੦]; [໐]

0A66          ; Guru; Laoo; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 1

# Gurmukhi; Latin: [੦]; [oøơ]

0A66          ; Guru; Latn; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 1

# Gurmukhi; Malayalam: [ਃ੦]; [ംഃ൦]

0A03          ; Guru; Mlym; L #      (ਃ)  GURMUKHI SIGN VISARGA
0A66          ; Guru; Mlym; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 2

# Gurmukhi; Myanmar: [ਃ੦]; [ဝး၀]

0A03          ; Guru; Mymr; L #      (ਃ)  GURMUKHI SIGN VISARGA
0A66          ; Guru; Mymr; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 2

# Gurmukhi; Oriya: [਼੧੪]; [ଃ଼୨]

0A3C          ; Guru; Orya; L #      (਼)  GURMUKHI SIGN NUKTA
0A67          ; Guru; Orya; L #      (੧)  GURMUKHI DIGIT ONE
0A6A          ; Guru; Orya; L #      (੪)  GURMUKHI DIGIT FOUR

# Total code points: 3

# Gurmukhi; Sinhala: [ਃ੦]; [ංඃ]

0A03          ; Guru; Sinh; L #      (ਃ)  GURMUKHI SIGN VISARGA
0A66          ; Guru; Sinh; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 2

# Gurmukhi; Tamil: [ਂ੦]; [்௦]

0A02          ; Guru; Taml; L #      (ਂ)  GURMUKHI SIGN BINDI
0A66          ; Guru; Taml; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 2

# Gurmukhi; Telugu: [ਃ੦]; [ంః౦]

0A03          ; Guru; Telu; L #      (ਃ)  GURMUKHI SIGN VISARGA
0A66          ; Guru; Telu; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 2

# Gurmukhi; Thai: [੦]; [๐]

0A66          ; Guru; Thai; L #      (੦)  GURMUKHI DIGIT ZERO

# Total code points: 1

# Han; Bengali: [〇]; [০]

3007          ; Hani; Beng; L #      (〇)  IDEOGRAPHIC NUMBER ZERO

# Total code points: 1

# Han; Greek: [〇]; [θ]

3007          ; Hani; Grek; L #      (〇)  IDEOGRAPHIC NUMBER ZERO

# Total code points: 1

# Han; Malayalam: [〇]; [ഠ]

3007          ; Hani; Mlym; L #      (〇)  IDEOGRAPHIC NUMBER ZERO

# Total code points: 1

# Han; Oriya: [〇]; [ଠ୦]

3007          ; Hani; Orya; L #      (〇)  IDEOGRAPHIC NUMBER ZERO

# Total code points: 1

# Hebrew; Arabic: [ויןסױ]; [إاه١٥ھہە۱۵ۿ]

05D5          ; Hebr; Arab; L #      (ו)  HEBREW LETTER VAV
05D9          ; Hebr; Arab; L #      (י)  HEBREW LETTER YOD
05DF          ; Hebr; Arab; L #      (ן)  HEBREW LETTER FINAL NUN
05E1          ; Hebr; Arab; L #      (ס)  HEBREW LETTER SAMEKH
05F1          ; Hebr; Arab; L #      (ױ)  HEBREW LIGATURE YIDDISH VAV YOD

# Total code points: 5

# Hebrew; Armenian: [ס]; [օ]

05E1          ; Hebr; Armn; L #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hebrew; Bengali: [ִ]; [়]

05B4          ; Hebr; Beng; L #      (ִ)  HEBREW POINT HIRIQ

# Total code points: 1

# Hebrew; Cyrillic: [ס]; [оө]

05E1          ; Hebr; Cyrl; L #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hebrew; Devanagari: [ִס]; [़०]

05B4          ; Hebr; Deva; L #      (ִ)  HEBREW POINT HIRIQ
05E1          ; Hebr; Deva; L #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 2

# Hebrew; Georgian: [ס]; [ჿ]

05E1          ; Hebr; Geor; L #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hebrew; Greek: [טס]; [νοσ]

05D8          ; Hebr; Grek; L #      (ט)  HEBREW LETTER TET
05E1          ; Hebr; Grek; L #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 2

# Hebrew; Gujarati: [ִס]; [઼૦]

05B4          ; Hebr; Gujr; L #      (ִ)  HEBREW POINT HIRIQ
05E1          ; Hebr; Gujr; L #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 2

# Hebrew; Gurmukhi: [ִס]; [਼੦]

05B4          ; Hebr; Guru; L #      (ִ)  HEBREW POINT HIRIQ
05E1          ; Hebr; Guru; L #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 2

# Hebrew; Kannada: [ס]; [ಂ೦]

05E1          ; Hebr; Knda; L #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hebrew; Lao: [ס]; [໐]

05E1          ; Hebr; Laoo; L #      (ס)  HEBREW LETTER SAMEKH

# Total code points: 1

# Hebrew; Latin: [וטיןסװױ]; [lovøłơ]

05D5          ; Hebr; Latn; L #      (ו)  HEBREW LETTER VAV
